255,156,222,219,,
250,162,220,216,270,245
216,184,274,226,,
216,179,272,223,,
243,134,218,179,269,222
241,135,218,180,271,225
218,182,274,229,,
218,178,273,224,,
209,155,264,194,,
207,146,265,196,,
207,141,258,187,,
209,137,257,186,,
212,132,259,190,,
210,135,258,193,,
211,134,256,191,,
213,133,256,192,,
212,134,252,189,,
212,133,249,186,,
262,156,211,133,,
270,157,211,134,,
269,156,212,134,,
266,154,213,133,,
262,175,210,161,,
260,177,209,168,,
262,177,210,167,,
302,169,260,175,210,168
310,171,261,174,209,169
307,171,260,173,212,165
307,173,262,172,210,168
262,173,213,167,,
267,174,211,166,,
263,173,211,165,,
280,175,211,165,,
267,174,210,166,,
286,175,213,163,,
294,172,210,169,,
285,176,211,167,,
282,176,213,164,,
283,175,216,161,,
283,175,214,163,,
315,138,283,175,218,162
314,139,284,174,216,163
316,137,276,175,218,162
289,154,247,193,192,178
291,153,250,193,194,178
293,151,252,192,194,178
288,155,248,192,203,178
290,155,251,192,,
286,158,249,191,,
326,151,273,166,233,197
304,156,253,168,215,197
308,151,255,167,212,197
304,156,253,169,215,197
302,156,253,170,215,197
303,156,249,172,217,196
277,122,268,174,221,191
277,119,265,178,219,192
280,115,264,179,218,192
283,113,266,177,,
281,116,263,178,,
258,138,240,197,,
305,135,247,148,232,201
316,121,249,146,234,196
312,127,247,149,234,196
276,161,217,181,,
284,110,276,163,216,185
286,105,277,160,218,183
289,101,272,164,220,183
280,109,264,170,212,190
263,132,247,193,,
269,126,245,191,,
272,125,246,189,,
266,128,245,191,,
313,152,245,149,223,211
304,158,238,154,,
306,156,235,156,,
301,156,234,159,,
292,161,225,167,,
292,126,270,176,206,183
293,126,269,176,216,183
296,124,265,179,,
292,128,265,178,,
321,144,267,146,234,195
323,142,264,147,233,195
324,140,264,148,234,194
291,158,230,172,,
289,157,232,173,,
307,113,289,154,229,175
313,109,283,160,231,175
287,130,253,181,197,201
284,132,253,181,201,200
285,133,245,184,,
333,153,279,135,245,184
316,169,255,151,216,201
310,168,254,155,,
310,168,252,158,,
281,178,215,175,,
315,137,275,179,215,175
314,138,273,179,215,175
299,150,261,190,202,187
286,150,248,189,,
287,149,246,190,,
326,157,247,190,,
270,154,214,198,,
313,191,269,155,219,195
324,192,267,155,216,196
296,195,234,160,,
299,192,235,161,,
292,194,229,161,,
300,159,259,193,181,175
310,156,257,193,199,169
308,156,254,193,202,170
311,157,252,192,,
279,161,225,194,,
278,161,229,192,,
320,196,278,162,224,191
318,197,268,162,216,191
299,198,249,163,197,190
296,194,246,163,200,188
296,194,245,164,201,187
296,193,245,164,172,191
296,193,242,163,203,187
294,193,244,163,206,187
289,189,241,163,194,193
242,163,192,194,,
249,163,189,193,,
249,163,192,194,150,175
277,163,221,193,179,175
275,163,223,192,177,175
281,162,217,192,,
296,167,223,191,,
295,167,224,191,,
289,165,185,180,,
304,220,287,165,226,187
277,219,259,160,200,181
277,219,257,160,204,180
277,217,261,163,,
278,217,262,163,200,182
277,216,259,162,201,181
282,222,262,164,,
283,223,260,163,,
282,222,257,162,,
284,223,258,163,,
282,219,257,163,,
260,206,236,151,,
294,211,254,208,223,149
294,211,255,209,222,149
296,213,252,206,222,149
294,212,255,208,218,148
301,214,254,206,226,151
303,215,253,206,225,151
304,216,250,201,208,147
305,218,252,203,208,147
303,216,253,204,228,154
279,198,232,180,213,142
288,236,272,198,224,178
291,240,269,196,228,178
299,243,271,197,228,176
291,240,267,195,207,149
293,239,269,198,225,174
310,208,265,212,229,167
313,208,263,211,231,170
321,211,259,209,229,168
303,196,239,190,210,153
292,195,226,189,199,152
294,196,227,189,,
292,195,228,187,,
303,247,290,194,224,184
298,243,281,186,218,178
284,234,259,172,,
282,232,257,171,,
282,231,254,170,,
310,202,251,208,224,153
313,203,251,206,226,156
319,206,249,205,225,156
310,197,235,192,,
300,212,220,188,,
294,194,223,189,,
289,190,219,185,,
298,251,290,192,219,186
302,256,289,191,226,187
274,234,253,165,,
271,229,256,168,,
274,230,255,168,,
300,222,241,202,223,147
299,222,241,203,223,147
299,222,242,204,207,139
302,226,239,200,,
302,225,242,201,,
286,212,228,187,,
277,253,271,192,215,168
278,255,273,194,216,168
281,260,272,194,218,171
260,232,245,160,,
260,233,245,162,,
259,231,244,161,,
314,232,258,228,244,163
315,232,256,225,244,164
318,235,254,223,242,164
291,207,226,192,216,141
